Team,League,Year,Points,Total Shots,Shot % on Target,Total Touches in Penalty Area
Atalanta,Serie A,2015/16,45,449,32.1,504
Bologna,Serie A,2015/16,42,375,31.2,433
Carpi,Serie A,2015/16,38,414,31.6,480
Chievo,Serie A,2015/16,50,419,32.7,441
Empoli,Serie A,2015/16,46,479,31.1,471
Fiorentina,Serie A,2015/16,64,556,33.6,505
Frosinone,Serie A,2015/16,31,461,27.3,372
Genoa,Serie A,2015/16,46,451,33.3,523
Hellas Verona,Serie A,2015/16,28,439,34.4,523
Internazionale,Serie A,2015/16,67,502,33.5,609
Juventus,Serie A,2015/16,91,571,37.7,667
Lazio,Serie A,2015/16,54,501,29.9,631
Milan,Serie A,2015/16,57,533,32.8,596
Napoli,Serie A,2015/16,82,648,36.4,712
Palermo,Serie A,2015/16,39,399,30.3,451
Roma,Serie A,2015/16,80,567,37.6,742
Sampdoria,Serie A,2015/16,40,433,36.7,488
Sassuolo,Serie A,2015/16,61,480,31.9,511
Torino,Serie A,2015/16,45,453,39.3,510
Udinese,Serie A,2015/16,39,418,34,508
Atalanta,Serie A,2016/17,72,510,39,728
Bologna,Serie A,2016/17,41,410,36.1,445
Cagliari,Serie A,2016/17,47,404,41.8,472
Chievo,Serie A,2016/17,43,398,33.2,481
Crotone,Serie A,2016/17,34,384,33.3,424
Empoli,Serie A,2016/17,32,355,36.1,495
Fiorentina,Serie A,2016/17,60,586,38.1,586
Genoa,Serie A,2016/17,36,420,34.8,577
Internazionale,Serie A,2016/17,62,596,35.4,753
Juventus,Serie A,2016/17,91,561,39.4,708
Lazio,Serie A,2016/17,70,554,37.9,715
Milan,Serie A,2016/17,63,541,36.4,651
Napoli,Serie A,2016/17,86,664,38.4,741
Palermo,Serie A,2016/17,26,358,32.7,369
Pescara,Serie A,2016/17,15,432,33.8,569
Roma,Serie A,2016/17,87,647,34.9,822
Sampdoria,Serie A,2016/17,48,474,34.4,468
Sassuolo,Serie A,2016/17,49,415,39.8,520
Torino,Serie A,2016/17,53,556,32.6,618
Udinese,Serie A,2016/17,45,415,37.1,482
Atalanta,Serie A,2017/18,60,551,36.7,798
Benevento,Serie A,2017/18,21,447,33.3,442
Bologna,Serie A,2017/18,39,335,35.2,430
Cagliari,Serie A,2017/18,39,350,32.9,474
Chievo,Serie A,2017/18,40,363,36.1,458
Crotone,Serie A,2017/18,35,379,35.1,433
Fiorentina,Serie A,2017/18,57,592,32.8,664
Genoa,Serie A,2017/18,41,397,33,528
Hellas Verona,Serie A,2017/18,25,338,29.3,360
Internazionale,Serie A,2017/18,72,562,37.9,772
Juventus,Serie A,2017/18,95,530,39.2,609
Lazio,Serie A,2017/18,72,536,40.3,729
Milan,Serie A,2017/18,64,589,38.4,688
Napoli,Serie A,2017/18,91,638,40,778
Roma,Serie A,2017/18,77,632,33.5,803
Sampdoria,Serie A,2017/18,54,451,38.6,574
Sassuolo,Serie A,2017/18,43,459,30.9,509
SPAL,Serie A,2017/18,38,362,31.8,407
Torino,Serie A,2017/18,54,433,37,558
Udinese,Serie A,2017/18,40,422,32.7,491
Atalanta,Serie A,2018/19,69,596,37.2,900
Bologna,Serie A,2018/19,44,462,35.7,572
Cagliari,Serie A,2018/19,41,407,29.7,523
Chievo,Serie A,2018/19,20,355,32.4,428
Empoli,Serie A,2018/19,38,438,34.2,662
Fiorentina,Serie A,2018/19,41,548,33.4,671
Frosinone,Serie A,2018/19,25,427,29.3,461
Genoa,Serie A,2018/19,38,489,31.1,603
Internazionale,Serie A,2018/19,69,582,33.8,845
Juventus,Serie A,2018/19,90,566,34.6,796
Lazio,Serie A,2018/19,59,581,31.8,749
Milan,Serie A,2018/19,68,556,34.9,654
Napoli,Serie A,2018/19,79,689,34.4,825
Parma,Serie A,2018/19,41,342,35.4,414
Roma,Serie A,2018/19,66,582,38.3,784
Sampdoria,Serie A,2018/19,53,478,38.7,592
Sassuolo,Serie A,2018/19,43,485,31.3,565
SPAL,Serie A,2018/19,42,432,32.9,498
Torino,Serie A,2018/19,63,484,36.2,608
Udinese,Serie A,2018/19,43,440,29.5,495
Atalanta,Serie A,2019/20,78,674,39.6,1013
Bologna,Serie A,2019/20,47,531,32,700
Brescia,Serie A,2019/20,25,391,36.8,580
Cagliari,Serie A,2019/20,45,421,34,545
Fiorentina,Serie A,2019/20,49,519,35.6,778
Genoa,Serie A,2019/20,39,409,37.2,563
Hellas Verona,Serie A,2019/20,49,427,38.4,673
Internazionale,Serie A,2019/20,82,585,39.5,869
Juventus,Serie A,2019/20,83,656,36.6,804
Lazio,Serie A,2019/20,78,562,39.5,817
Lecce,Serie A,2019/20,35,483,37.1,625
Milan,Serie A,2019/20,66,595,33.4,815
Napoli,Serie A,2019/20,62,660,35.3,861
Parma,Serie A,2019/20,49,444,34.9,637
Roma,Serie A,2019/20,70,613,35.2,859
Sampdoria,Serie A,2019/20,42,527,33.2,626
Sassuolo,Serie A,2019/20,51,520,38.1,716
SPAL,Serie A,2019/20,20,430,28.1,555
Torino,Serie A,2019/20,40,421,36.8,625
Udinese,Serie A,2019/20,45,445,32.8,648
Atalanta,Serie A,2020/21,78,590,39.7,1027
Benevento,Serie A,2020/21,33,387,34.9,628
Bologna,Serie A,2020/21,41,471,38.2,686
Cagliari,Serie A,2020/21,37,400,31.5,657
Crotone,Serie A,2020/21,23,346,34.4,488
Fiorentina,Serie A,2020/21,40,347,34.9,579
Genoa,Serie A,2020/21,42,319,38.9,486
Hellas Verona,Serie A,2020/21,45,375,33.3,697
Internazionale,Serie A,2020/21,91,525,38.3,912
Juventus,Serie A,2020/21,78,563,37.5,976
Lazio,Serie A,2020/21,68,494,37.9,762
Milan,Serie A,2020/21,79,520,38.5,805
Napoli,Serie A,2020/21,77,602,37.4,892
Parma,Serie A,2020/21,20,380,34.7,539
Roma,Serie A,2020/21,62,518,39,805
Sampdoria,Serie A,2020/21,52,386,37.3,624
Sassuolo,Serie A,2020/21,62,504,35.7,746
Spezia,Serie A,2020/21,39,356,37.6,661
Torino,Serie A,2020/21,37,429,35.2,579
Udinese,Serie A,2020/21,40,392,32.9,668
Athletic Bilbao,La Liga,2015/16,62,443,37.7,584
Atlético Madrid,La Liga,2015/16,88,466,35.4,639
Barcelona,La Liga,2015/16,91,603,44.3,1040
Celta de Vigo,La Liga,2015/16,60,435,36.3,658
Deportivo La Coruña,La Liga,2015/16,42,439,35.5,455
Eibar,La Liga,2015/16,43,398,37.9,498
Espanyol,La Liga,2015/16,43,373,38.3,501
Getafe,La Liga,2015/16,36,410,35.1,505
Granada,La Liga,2015/16,39,417,33.1,401
Las Palmas,La Liga,2015/16,44,404,40.3,472
Levante,La Liga,2015/16,32,415,35.9,468
Málaga,La Liga,2015/16,48,437,37.3,544
Rayo Vallecano,La Liga,2015/16,38,484,38,506
Real Betis,La Liga,2015/16,45,360,33.6,461
Real Madrid,La Liga,2015/16,90,697,40.9,925
Real Sociedad,La Liga,2015/16,48,433,35.8,572
Sevilla,La Liga,2015/16,52,434,41.9,734
Sporting Gijón,La Liga,2015/16,39,347,35.2,475
Valencia,La Liga,2015/16,44,386,35.2,539
Villarreal,La Liga,2015/16,64,331,39.9,513
Athletic Bilbao,La Liga,2016/17,63,444,39.9,543
Atlético Madrid,La Liga,2016/17,78,473,41.6,563
Barcelona,La Liga,2016/17,90,617,43.4,1001
Celta de Vigo,La Liga,2016/17,45,383,38.6,443
Deportivo Alavés,La Liga,2016/17,55,377,35.5,372
Deportivo La Coruña,La Liga,2016/17,36,419,33.4,405
Eibar,La Liga,2016/17,54,432,41,480
Espanyol,La Liga,2016/17,56,317,39.7,352
Granada,La Liga,2016/17,20,360,35,345
Las Palmas,La Liga,2016/17,39,410,44.1,514
Leganés,La Liga,2016/17,35,402,33.6,427
Málaga,La Liga,2016/17,46,472,36,509
Osasuna,La Liga,2016/17,22,365,39.2,419
Real Betis,La Liga,2016/17,39,418,37.6,499
Real Madrid,La Liga,2016/17,93,628,42.4,862
Real Sociedad,La Liga,2016/17,64,468,34.4,611
Sevilla,La Liga,2016/17,72,448,43.3,720
Sporting Gijón,La Liga,2016/17,31,344,38.4,461
Valencia,La Liga,2016/17,46,420,41,507
Villarreal,La Liga,2016/17,67,392,41.1,539
Athletic Bilbao,La Liga,2017/18,43,397,38.3,592
Atlético Madrid,La Liga,2017/18,79,376,40.7,549
Barcelona,La Liga,2017/18,93,566,47.3,1009
Celta de Vigo,La Liga,2017/18,49,418,38.5,573
Deportivo Alavés,La Liga,2017/18,47,356,37.4,416
Deportivo La Coruña,La Liga,2017/18,29,423,33.1,574
Eibar,La Liga,2017/18,51,431,31.1,554
Espanyol,La Liga,2017/18,49,381,35.2,479
Getafe,La Liga,2017/18,55,342,38,440
Girona,La Liga,2017/18,51,423,37.6,514
Las Palmas,La Liga,2017/18,22,387,32.6,456
Leganés,La Liga,2017/18,43,375,35.7,445
Levante,La Liga,2017/18,46,385,31.2,518
Málaga,La Liga,2017/18,20,364,32.1,420
Real Betis,La Liga,2017/18,60,384,42.2,473
Real Madrid,La Liga,2017/18,76,669,42.2,1023
Real Sociedad,La Liga,2017/18,49,475,36,653
Sevilla,La Liga,2017/18,58,492,38.8,739
Valencia,La Liga,2017/18,73,452,40.5,568
Villarreal,La Liga,2017/18,61,456,37.3,585
Athletic Bilbao,La Liga,2018/19,53,349,38.4,574
Atlético Madrid,La Liga,2018/19,76,414,38.9,630
Barcelona,La Liga,2018/19,87,544,46.3,847
Celta de Vigo,La Liga,2018/19,41,414,38.9,544
Deportivo Alavés,La Liga,2018/19,50,394,30.7,475
Eibar,La Liga,2018/19,47,490,32.4,724
Espanyol,La Liga,2018/19,53,450,36,556
Getafe,La Liga,2018/19,59,357,34.7,550
Girona,La Liga,2018/19,37,368,40.5,493
Huesca,La Liga,2018/19,33,444,33.8,547
Leganés,La Liga,2018/19,45,384,33.3,460
Levante,La Liga,2018/19,44,409,38.1,546
Rayo Vallecano,La Liga,2018/19,32,436,35.3,515
Real Betis,La Liga,2018/19,50,432,38.4,672
Real Madrid,La Liga,2018/19,68,561,38.7,868
Real Sociedad,La Liga,2018/19,50,398,35.9,509
Real Valladolid,La Liga,2018/19,41,388,34,482
Sevilla,La Liga,2018/19,59,489,37.2,824
Valencia,La Liga,2018/19,61,448,36.8,682
Villarreal,La Liga,2018/19,44,472,35.8,649
Athletic Bilbao,La Liga,2019/20,51,379,36.1,479
Atlético Madrid,La Liga,2019/20,70,431,33.2,674
Barcelona,La Liga,2019/20,82,486,45.7,935
Celta de Vigo,La Liga,2019/20,37,349,39.8,545
Deportivo Alavés,La Liga,2019/20,39,292,35.3,447
Eibar,La Liga,2019/20,42,410,36.1,545
Espanyol,La Liga,2019/20,25,376,33.5,483
Getafe,La Liga,2019/20,54,379,33,539
Granada,La Liga,2019/20,56,364,35.4,491
Leganés,La Liga,2019/20,36,397,38,524
Levante,La Liga,2019/20,49,409,34.5,544
Mallorca,La Liga,2019/20,33,400,33.5,564
Osasuna,La Liga,2019/20,52,426,34.3,582
Real Betis,La Liga,2019/20,41,445,35.7,720
Real Madrid,La Liga,2019/20,87,529,43.7,897
Real Sociedad,La Liga,2019/20,56,408,36,677
Real Valladolid,La Liga,2019/20,42,365,34,411
Sevilla,La Liga,2019/20,70,467,36.8,764
Valencia,La Liga,2019/20,53,317,38.5,558
Villarreal,La Liga,2019/20,60,458,36.7,653
Athletic Bilbao,La Liga,2020/21,46,375,37.3,617
Atlético Madrid,La Liga,2020/21,86,432,43.3,781
Barcelona,La Liga,2020/21,79,563,42.5,1123
Cádiz,La Liga,2020/21,44,275,36.4,377
Celta de Vigo,La Liga,2020/21,53,329,43.2,536
Deportivo Alavés,La Liga,2020/21,38,330,32.4,478
Eibar,La Liga,2020/21,30,413,32.7,596
Elche,La Liga,2020/21,36,240,37.5,374
Getafe,La Liga,2020/21,38,339,31.9,555
Granada,La Liga,2020/21,46,340,38.5,478
Huesca,La Liga,2020/21,34,376,35.9,526
Levante,La Liga,2020/21,41,367,36.8,625
Osasuna,La Liga,2020/21,44,356,36,526
Real Betis,La Liga,2020/21,61,431,37.6,686
Real Madrid,La Liga,2020/21,84,527,33,920
Real Sociedad,La Liga,2020/21,62,400,38,723
Real Valladolid,La Liga,2020/21,31,346,34.4,488
Sevilla,La Liga,2020/21,77,427,33.7,700
Valencia,La Liga,2020/21,43,382,35.9,491
Villarreal,La Liga,2020/21,58,397,41.6,722
Arsenal,Premier League,2015/16,71,553,37.6,963
Aston Villa,Premier League,2015/16,17,368,29.3,413
Bournemouth,Premier League,2015/16,42,450,30.9,583
Chelsea,Premier League,2015/16,50,522,33.5,802
Crystal Palace,Premier League,2015/16,42,459,34.2,561
Everton,Premier League,2015/16,47,481,36.2,627
Leicester City,Premier League,2015/16,81,500,36.8,628
Liverpool,Premier League,2015/16,60,605,33.9,802
Manchester City,Premier League,2015/16,66,580,35.2,842
Manchester United,Premier League,2015/16,66,414,35.3,647
Newcastle United,Premier League,2015/16,37,394,38.8,522
Norwich City,Premier League,2015/16,34,409,32.3,477
Southampton,Premier League,2015/16,63,517,33.7,674
Stoke City,Premier League,2015/16,51,390,32.6,453
Sunderland,Premier League,2015/16,39,431,33.6,486
Swansea City,Premier League,2015/16,47,424,30.7,514
Tottenham Hotspur,Premier League,2015/16,70,632,39.2,648
Watford,Premier League,2015/16,45,434,33.6,478
West Bromwich Albion,Premier League,2015/16,43,355,28.5,453
West Ham United,Premier League,2015/16,62,532,34.2,618
Arsenal,Premier League,2016/17,75,541,37.5,934
Bournemouth,Premier League,2016/17,46,430,37.7,521
Burnley,Premier League,2016/17,40,381,32,428
Chelsea,Premier League,2016/17,93,567,37.2,817
Crystal Palace,Premier League,2016/17,41,415,34.2,525
